Filename,FPS
004_982,25.0
005_010,25.0
008_990,25.0
009_027,30.0
010_005,25.0
013_883,25.0
014_790,30.0
015_919,30.0
022_489,30.0
027_009,30.0
029_048,25.0
031_163,30.0
032_944,30.0
033_097,25.0
035_036,25.0
036_035,25.0
037_072,25.0
044_945,30.0
045_889,25.0
046_904,30.0
047_862,30.0
048_029,25.0
049_946,30.0
050_059,25.0
054_071,30.0
055_147,30.0
056_996,25.0
059_050,25.0
060_088,25.0
061_080,25.0
062_066,30.0
064_991,25.0
066_062,30.0
071_054,30.0
072_037,25.0
075_977,30.0
076_079,30.0
077_100,25.0
079_076,30.0
080_061,25.0
081_087,25.0
082_103,25.0
083_213,30.0
085_124,25.0
087_081,25.0
088_060,25.0
092_098,25.0
093_121,24.0
096_101,30.0
097_033,25.0
098_092,25.0
099_295,25.0
100_077,25.0
101_096,30.0
102_114,25.0
103_082,25.0
105_180,30.0
106_198,30.0
107_109,25.0
109_107,25.0
112_892,30.0
114_102,25.0
115_939,30.0
117_217,25.0
121_093,24.0
122_144,29.0
124_085,25.0
128_896,25.0
130_139,25.0
134_192,30.0
136_285,30.0
139_130,25.0
144_122,30.0
145_299,15.0
147_055,30.0
149_152,25.0
150_153,25.0
152_149,25.0
153_150,25.0
155_576,25.0
158_379,30.0
159_175,25.0
160_928,30.0
163_031,30.0
164_216,25.0
168_222,30.0
169_227,30.0
175_159,25.0
177_211,25.0
178_598,25.0
179_212,30.0
180_105,30.0
183_253,30.0
189_200,25.0
192_134,30.0
198_106,30.0
200_189,25.0
202_348,25.0
206_221,25.0
210_241,30.0
211_177,25.0
212_179,30.0
213_083,30.0
216_164,25.0
217_117,25.0
221_206,25.0
222_168,30.0
223_586,60.0
226_491,30.0
227_169,30.0
228_289,25.0
229_247,25.0
241_210,30.0
246_258,30.0
247_229,25.0
249_280,30.0
251_375,25.0
252_266,25.0
253_183,30.0
254_261,25.0
257_420,25.0
258_246,30.0
260_331,25.0
261_254,25.0
262_301,25.0
263_284,30.0
264_271,30.0
265_475,25.0
266_252,25.0
268_269,30.0
269_268,30.0
270_297,25.0
271_264,30.0
272_396,30.0
274_412,30.0
278_306,25.0
280_249,30.0
284_263,30.0
285_136,30.0
288_321,25.0
289_228,25.0
292_294,30.0
294_292,30.0
295_099,25.0
297_270,25.0
299_145,15.0
301_262,25.0
303_309,25.0
306_278,25.0
307_365,25.0
308_388,30.0
309_303,25.0
317_359,30.0
319_352,25.0
321_288,25.0
324_356,25.0
331_260,25.0
333_377,30.0
337_522,25.0
339_392,30.0
342_416,25.0
348_202,25.0
352_319,25.0
355_748,30.0
356_324,25.0
359_317,30.0
360_437,25.0
361_448,30.0
365_307,25.0
366_473,25.0
370_483,30.0
373_394,25.0
374_407,25.0
375_251,25.0
376_381,25.0
377_333,30.0
379_158,30.0
381_376,25.0
382_409,25.0
384_932,25.0
385_414,30.0
388_308,30.0
389_480,25.0
390_709,24.0
392_339,30.0
394_373,25.0
396_272,30.0
397_602,30.0
399_488,30.0
402_453,30.0
407_374,25.0
409_382,25.0
410_411,30.0
411_410,30.0
412_274,30.0
414_385,30.0
416_342,25.0
419_824,60.0
420_257,25.0
425_485,30.0
430_459,30.0
431_447,30.0
434_438,30.0
435_456,25.0
437_360,25.0
438_434,30.0
439_441,30.0
441_439,30.0
444_655,30.0
445_494,25.0
446_667,25.0
447_431,30.0
448_361,30.0
450_533,30.0
452_550,30.0
453_402,30.0
455_471,25.0
456_435,25.0
459_430,30.0
462_467,30.0
463_464,25.0
464_463,25.0
465_482,30.0
467_462,30.0
468_470,25.0
469_481,30.0
470_468,25.0
471_455,25.0
472_511,25.0
473_366,25.0
475_265,25.0
477_487,30.0
478_506,30.0
479_706,30.0
480_389,25.0
481_469,30.0
482_465,30.0
483_370,30.0
485_425,30.0
487_477,30.0
488_399,30.0
489_022,30.0
490_534,25.0
491_226,30.0
494_445,25.0
503_756,30.0
506_478,30.0
510_528,25.0
511_472,25.0
516_555,30.0
517_521,30.0
520_542,25.0
521_517,30.0
522_337,25.0
524_580,30.0
528_510,25.0
529_633,30.0
533_450,30.0
534_490,25.0
536_540,25.0
537_563,30.0
540_536,25.0
542_520,25.0
543_559,25.0
545_553,30.0
550_452,30.0
553_545,30.0
554_572,30.0
555_516,30.0
556_588,25.0
557_560,30.0
558_583,30.0
559_543,25.0
560_557,30.0
561_998,30.0
563_537,30.0
564_971,30.0
565_589,25.0
566_617,25.0
568_628,25.0
570_624,25.0
572_554,30.0
576_155,25.0
578_636,30.0
580_524,30.0
581_697,30.0
583_558,30.0
584_823,24.0
585_599,30.0
586_223,60.0
588_556,25.0
589_565,25.0
596_609,25.0
598_178,25.0
599_585,30.0
602_397,30.0
604_703,30.0
607_683,30.0
609_596,25.0
611_760,30.0
613_685,25.0
614_616,25.0
615_687,25.0
616_614,25.0
617_566,25.0
619_620,25.0
620_619,25.0
622_647,30.0
623_630,25.0
624_570,25.0
628_568,25.0
630_623,25.0
633_529,30.0
635_642,25.0
636_578,30.0
638_640,30.0
640_638,30.0
642_635,25.0
644_657,25.0
645_688,30.0
647_622,30.0
648_654,25.0
649_816,30.0
651_835,25.0
652_773,30.0
654_648,25.0
655_444,30.0
656_666,25.0
657_644,25.0
661_670,25.0
664_668,30.0
665_679,25.0
666_656,25.0
667_446,25.0
668_664,30.0
670_661,25.0
671_677,30.0
672_720,30.0
673_728,30.0
677_671,30.0
679_665,25.0
681_711,25.0
683_607,30.0
684_717,30.0
685_613,25.0
687_615,25.0
688_645,30.0
689_690,30.0
690_689,30.0
693_698,25.0
697_581,30.0
698_693,25.0
703_604,30.0
706_479,30.0
709_390,24.0
710_788,25.0
711_681,25.0
712_716,25.0
713_726,30.0
716_712,25.0
717_684,30.0
719_737,25.0
720_672,30.0
726_713,30.0
728_673,30.0
731_741,25.0
737_719,25.0
739_865,50.0
741_731,25.0
742_775,30.0
748_355,30.0
751_752,30.0
752_751,30.0
754_758,30.0
756_503,30.0
758_754,30.0
760_611,30.0
762_832,25.0
764_850,30.0
768_793,25.0
769_784,30.0
771_849,25.0
773_652,30.0
775_742,30.0
778_798,30.0
779_794,25.0
781_806,25.0
784_769,30.0
786_819,25.0
788_710,25.0
790_014,30.0
792_903,25.0
793_768,25.0
794_779,25.0
795_907,30.0
798_778,30.0
802_885,25.0
806_781,25.0
811_920,25.0
812_821,30.0
816_649,30.0
817_827,30.0
818_820,25.0
819_786,25.0
820_818,25.0
821_812,30.0
823_584,24.0
824_419,60.0
827_817,30.0
828_830,25.0
830_828,25.0
832_762,25.0
834_852,25.0
835_651,25.0
836_950,30.0
837_890,30.0
839_864,25.0
848_894,25.0
849_771,25.0
850_764,30.0
852_834,25.0
853_863,30.0
860_905,30.0
862_047,30.0
863_853,30.0
864_839,25.0
865_739,60.0
866_878,30.0
876_891,30.0
878_866,30.0
882_952,30.0
883_013,25.0
884_968,25.0
885_802,25.0
889_045,25.0
890_837,30.0
891_876,30.0
892_112,30.0
893_913,30.0
894_848,25.0
895_915,25.0
896_128,25.0
897_969,25.0
903_792,25.0
904_046,30.0
905_860,30.0
907_795,30.0
913_893,30.0
915_895,25.0
917_924,25.0
918_934,25.0
919_015,30.0
920_811,25.0
924_917,25.0
925_933,30.0
928_160,30.0
929_962,30.0
932_384,25.0
933_925,30.0
934_918,25.0
938_987,25.0
939_115,30.0
942_943,25.0
943_942,25.0
944_032,30.0
945_044,30.0
946_049,30.0
947_951,30.0
948_965,30.0
950_836,30.0
951_947,30.0
952_882,30.0
953_974,25.0
957_959,30.0
959_957,30.0
960_999,30.0
962_929,30.0
965_948,30.0
966_988,25.0
968_884,25.0
969_897,25.0
971_564,30.0
974_953,25.0
977_075,30.0
980_992,25.0
981_985,25.0
982_004,25.0
985_981,25.0
986_994,25.0
987_938,25.0
988_966,25.0
989_993,25.0
990_008,25.0
991_064,25.0
992_980,25.0
993_989,25.0
994_986,25.0
996_056,25.0
998_561,30.0
999_960,30.0
