Filename,Type,FPS,Duration,Width,Height
008,original,25.0,25.48,640,480
020,original,25.0,15.6,1280,720
034,original,30.0,13.566666666666666,960,720
035,original,25.0,16.92,640,480
021,original,30.0,14.366666666666667,654,480
009,original,30.0,19.6,640,480
037,original,25.0,18.16,656,480
023,original,25.0,22.12,640,480
022,original,30.0,10.833333333333334,1280,720
036,original,25.0,13.48,640,480
032,original,30.0,10.333333333333334,1280,720
026,original,25.0,12.88,640,480
027,original,30.0,10.5,640,480
033,original,25.0,32.36,854,480
025,original,30.0,24.9,1440,1080
031,original,30.0,16.066666666666666,1280,720
019,original,30.0,46.166666666666664,640,480
018,original,30.0,14.4,640,480
030,original,30.0,9.9,1920,1080
024,original,25.0,12.24,640,480
043,original,30.0,16.5,1280,720
057,original,25.0,17.24,656,480
080,original,25.0,19.32,656,480
094,original,25.0,22.36,1280,720
095,original,25.0,40.24,640,480
081,original,25.0,46.8,600,480
056,original,25.0,14.92,1280,720
042,original,15.0,22.533333333333335,640,480
068,original,30.0,13.366666666666667,640,480
054,original,30.0,12.266666666666667,640,480
040,original,25.0,21.92,1280,720
097,original,25.0,19.12,640,480
083,original,30.0,18.166666666666668,1920,1080
082,original,25.0,12.64,640,480
096,original,30.0,16.8,1920,1080
041,original,25.0,13.96,656,480
055,original,30.0,13.133333333333333,640,480
069,original,30.0,25.8,1280,720
051,original,25.0,28.68,1280,720
045,original,25.0,14.0,1920,1080
079,original,30.0,14.133333333333333,1280,720
092,original,25.0,18.4,720,480
086,original,30.0,31.166666666666668,1280,720
087,original,25.0,12.36,640,480
093,original,24.0,12.833333333333334,1280,720
078,original,25.0,20.92,1280,720
044,original,30.0,11.166666666666666,1280,720
050,original,25.0,21.2,640,480
046,original,30.0,16.8,1280,720
052,original,30.0,10.766666666666667,1920,1080
085,original,25.0,13.16,640,480
091,original,30.0,21.3,658,480
090,original,30.0,22.9,1280,720
084,original,24.0,15.625,1920,1080
053,original,25.0,16.68,656,480
047,original,30.0,10.633333333333333,854,480
062,original,30.0,14.1,640,480
076,original,30.0,10.966666666666667,1280,720
089,original,25.0,30.04,1280,720
088,original,25.0,26.6,640,480
077,original,25.0,24.44,640,480
063,original,25.0,37.2,640,480
049,original,30.0,12.0,640,480
075,original,30.0,20.433333333333334,1280,720
061,original,25.0,13.48,654,480
060,original,25.0,33.76,600,480
074,original,25.0,13.8,1920,1080
048,original,25.0,19.4,640,480
070,original,25.0,14.68,640,480
064,original,25.0,16.08,640,480
058,original,30.0,22.3,720,480
059,original,25.0,28.84,640,480
065,original,25.0,17.68,1280,720
071,original,30.0,15.1,654,480
067,original,30.0,17.933333333333334,1280,720
073,original,25.0,28.12,1280,720
098,original,25.0,11.96,656,480
099,original,25.0,24.52,1920,1080
072,original,25.0,12.44,656,480
066,original,30.0,14.5,720,480
029,original,25.0,16.64,586,480
001,original,25.0,18.4,1280,720
015,original,30.0,14.566666666666666,640,480
014,original,30.0,22.533333333333335,640,480
000,original,25.0,15.84,640,480
028,original,30.0,14.466666666666667,848,480
016,original,30.0,22.6,640,480
002,original,30.0,23.1,1280,720
003,original,25.0,12.12,640,480
017,original,30.0,13.266666666666667,1280,720
013,original,25.0,13.28,640,480
007,original,25.0,20.2,600,480
006,original,30.0,10.333333333333334,1280,720
012,original,25.0,14.52,640,480
004,original,25.0,12.36,1280,720
010,original,25.0,18.96,640,480
038,original,30.0,10.166666666666666,854,480
039,original,30.0,20.3,654,480
011,original,24.0,26.333333333333332,1280,720
005,original,25.0,15.4,720,480
