Filename,FPS
000_003,25.0
001_870,25.0
002_006,30.0
003_000,25.0
004_982,25.0
005_010,25.0
006_002,30.0
007_132,25.0
008_990,25.0
009_027,30.0
010_005,25.0
011_805,24.0
012_026,25.0
013_883,25.0
014_790,30.0
015_919,30.0
016_209,30.0
017_803,30.0
018_019,30.0
019_018,30.0
020_344,25.0
021_312,30.0
022_489,30.0
023_923,25.0
024_073,25.0
025_067,30.0
026_012,25.0
027_009,30.0
028_068,30.0
029_048,25.0
030_193,30.0
031_163,30.0
032_944,30.0
033_097,25.0
034_590,30.0
035_036,25.0
036_035,25.0
037_072,25.0
038_125,30.0
039_058,30.0
040_997,25.0
041_063,25.0
042_084,15.0
043_110,30.0
044_945,30.0
045_889,25.0
046_904,30.0
047_862,30.0
048_029,25.0
049_946,30.0
050_059,25.0
051_332,25.0
052_108,30.0
053_095,25.0
054_071,30.0
055_147,30.0
056_996,25.0
057_070,25.0
058_039,30.0
059_050,25.0
060_088,25.0
061_080,25.0
062_066,30.0
063_041,25.0
064_991,25.0
065_089,25.0
066_062,30.0
067_025,30.0
068_028,30.0
069_961,30.0
070_057,25.0
071_054,30.0
072_037,25.0
073_024,25.0
074_825,25.0
075_977,30.0
076_079,30.0
077_100,25.0
078_955,25.0
079_076,30.0
080_061,25.0
081_087,25.0
082_103,25.0
083_213,30.0
084_042,24.0
085_124,25.0
086_090,30.0
087_081,25.0
088_060,25.0
089_065,25.0
090_086,30.0
091_116,30.0
092_098,25.0
093_121,24.0
094_111,25.0
095_053,25.0
096_101,30.0
097_033,25.0
098_092,25.0
099_295,25.0
100_077,25.0
101_096,30.0
102_114,25.0
103_082,25.0
104_126,30.0
105_180,30.0
106_198,30.0
107_109,25.0
108_052,30.0
109_107,25.0
110_043,30.0
111_094,25.0
112_892,30.0
113_983,25.0
114_102,25.0
115_939,30.0
116_091,30.0
117_217,25.0
118_120,25.0
119_123,30.0
120_118,25.0
121_093,24.0
122_144,30.0
123_119,29.0
124_085,25.0
125_038,30.0
126_104,30.0
127_129,30.0
128_896,25.0
129_127,30.0
130_139,25.0
131_518,15.0
132_007,25.0
133_148,30.0
134_192,30.0
135_880,24.0
136_285,30.0
137_165,25.0
138_142,25.0
139_130,25.0
140_143,25.0
141_161,30.0
142_138,25.0
143_140,25.0
144_122,29.0
145_299,15.0
146_256,24.0
147_055,30.0
148_133,30.0
149_152,25.0
150_153,25.0
151_225,30.0
152_149,25.0
153_150,25.0
154_386,30.0
155_576,25.0
156_243,25.0
157_245,25.0
158_379,30.0
159_175,25.0
160_928,30.0
161_141,30.0
162_330,30.0
163_031,30.0
164_216,25.0
165_137,25.0
166_167,25.0
167_166,25.0
168_222,30.0
169_227,30.0
170_186,30.0
171_173,30.0
172_582,30.0
173_171,30.0
174_964,60.0
175_159,25.0
176_190,30.0
177_211,25.0
178_598,25.0
179_212,30.0
180_105,30.0
181_199,30.0
182_242,30.0
183_253,30.0
184_205,25.0
185_276,25.0
186_170,30.0
187_234,30.0
188_191,30.0
189_200,25.0
190_176,30.0
191_188,30.0
192_134,30.0
193_030,30.0
194_235,25.0
195_442,25.0
196_310,25.0
197_224,25.0
198_106,30.0
199_181,30.0
200_189,25.0
201_203,25.0
202_348,25.0
203_201,25.0
204_230,30.0
205_184,25.0
206_221,25.0
207_908,24.0
208_215,25.0
209_016,30.0
210_241,30.0
211_177,25.0
212_179,30.0
213_083,30.0
214_255,30.0
215_208,25.0
216_164,25.0
217_117,25.0
218_239,25.0
219_220,25.0
220_219,25.0
221_206,25.0
222_168,30.0
223_586,60.0
224_197,25.0
225_151,30.0
226_491,30.0
227_169,30.0
228_289,25.0
229_247,25.0
230_204,30.0
231_663,25.0
232_248,30.0
233_995,30.0
234_187,30.0
235_194,25.0
236_237,25.0
237_236,25.0
238_282,25.0
239_218,25.0
240_290,30.0
241_210,30.0
242_182,30.0
243_156,25.0
244_822,25.0
245_157,25.0
246_258,30.0
247_229,25.0
248_232,30.0
249_280,30.0
250_461,25.0
251_375,25.0
252_266,25.0
253_183,30.0
254_261,25.0
255_214,30.0
256_146,24.0
257_420,25.0
258_246,30.0
259_345,25.0
260_331,25.0
261_254,25.0
262_301,25.0
263_284,30.0
264_271,30.0
265_475,25.0
266_252,25.0
267_286,30.0
268_269,30.0
269_268,30.0
270_297,25.0
271_264,30.0
272_396,30.0
273_807,30.0
274_412,30.0
275_887,25.0
276_185,25.0
277_335,30.0
278_306,25.0
279_298,30.0
280_249,30.0
281_474,30.0
282_238,25.0
283_313,30.0
284_263,30.0
285_136,30.0
286_267,30.0
287_426,30.0
288_321,25.0
289_228,25.0
290_240,30.0
291_874,30.0
292_294,30.0
293_296,25.0
294_292,30.0
295_099,25.0
296_293,25.0
297_270,25.0
298_279,30.0
299_145,15.0
