Filename,Type,FPS,Duration,Width,Height
944_032,manipulated,30.0,11.4,720,480
654_648,manipulated,25.0,16.4,640,480
892_112,manipulated,30.0,10.366666666666667,1920,1080
876_891,manipulated,30.0,10.433333333333334,1280,720
448_361,manipulated,30.0,17.6,1280,720
817_827,manipulated,30.0,13.966666666666667,1280,720
228_289,manipulated,25.0,22.24,854,480
917_924,manipulated,25.0,17.92,656,480
628_568,manipulated,25.0,35.8,640,480
982_004,manipulated,25.0,33.8,854,480
107_109,manipulated,25.0,22.24,640,480
441_439,manipulated,30.0,10.166666666666666,640,480
924_917,manipulated,25.0,49.92,600,480
112_892,manipulated,30.0,13.933333333333334,1920,1080
852_834,manipulated,25.0,17.08,640,480
360_437,manipulated,25.0,15.4,1280,720
241_210,manipulated,30.0,9.733333333333333,854,480
706_479,manipulated,30.0,10.933333333333334,1920,1080
615_687,manipulated,25.0,18.08,1280,720
272_396,manipulated,30.0,10.766666666666667,1280,720
294_292,manipulated,30.0,20.133333333333333,1280,720
828_830,manipulated,25.0,12.76,640,480
096_101,manipulated,30.0,16.8,1920,1080
435_456,manipulated,25.0,19.04,656,480
252_266,manipulated,25.0,22.88,800,480
952_882,manipulated,30.0,23.333333333333332,1280,720
264_271,manipulated,30.0,15.166666666666666,854,480
381_376,manipulated,25.0,23.12,656,480
866_878,manipulated,30.0,16.966666666666665,1920,1080
337_522,manipulated,25.0,13.24,640,480
565_589,manipulated,25.0,17.2,656,480
786_819,manipulated,25.0,20.8,1920,1080
589_565,manipulated,25.0,27.44,640,480
261_254,manipulated,25.0,27.08,600,480
470_468,manipulated,25.0,36.2,642,480
712_716,manipulated,25.0,22.0,1280,720
645_688,manipulated,30.0,18.466666666666665,1920,1080
648_654,manipulated,25.0,18.84,1280,720
630_623,manipulated,25.0,16.92,640,480
469_481,manipulated,30.0,13.8,854,480
992_980,manipulated,25.0,28.72,600,480
392_339,manipulated,30.0,49.86666666666667,1280,720
062_066,manipulated,30.0,14.1,640,480
150_153,manipulated,25.0,18.24,854,480
951_947,manipulated,30.0,39.2,1280,720
324_356,manipulated,25.0,49.96,640,480
251_375,manipulated,25.0,13.84,1920,1080
033_097,manipulated,25.0,32.36,854,480
054_071,manipulated,30.0,12.266666666666667,640,480
642_635,manipulated,25.0,22.92,656,480
399_488,manipulated,30.0,28.733333333333334,1280,720
878_866,manipulated,30.0,24.533333333333335,1280,720
210_241,manipulated,30.0,27.966666666666665,654,480
008_990,manipulated,25.0,25.48,640,480
827_817,manipulated,30.0,10.366666666666667,640,480
607_683,manipulated,30.0,15.133333333333333,1920,1080
596_609,manipulated,25.0,22.28,600,480
981_985,manipulated,25.0,14.88,600,480
356_324,manipulated,25.0,22.32,1280,720
938_987,manipulated,25.0,14.76,640,480
263_284,manipulated,30.0,10.0,1280,720
178_598,manipulated,25.0,20.84,640,480
572_554,manipulated,30.0,11.566666666666666,1280,720
321_288,manipulated,25.0,22.68,640,480
671_677,manipulated,30.0,11.433333333333334,1280,720
192_134,manipulated,30.0,9.566666666666666,1280,720
488_399,manipulated,30.0,17.266666666666666,854,480
183_253,manipulated,30.0,13.0,1280,720
882_952,manipulated,30.0,11.1,1920,1080
623_630,manipulated,25.0,14.08,640,480
679_665,manipulated,25.0,16.64,656,480
942_943,manipulated,25.0,19.8,1280,720
760_611,manipulated,30.0,10.2,854,480
456_435,manipulated,25.0,24.32,1280,720
943_942,manipulated,25.0,18.8,1280,720
668_664,manipulated,30.0,13.266666666666667,654,480
987_938,manipulated,25.0,23.0,600,480
289_228,manipulated,25.0,23.88,720,480
044_945,manipulated,30.0,11.166666666666666,1280,720
