Filename,Type,FPS,Duration,Width,Height
222,original,30.0,13.566666666666666,640,480
550,original,30.0,14.8,640,480
008,original,25.0,25.48,640,480
168,original,30.0,40.93333333333333,640,480
183,original,30.0,13.0,1280,720
356,original,25.0,22.32,1280,720
381,original,25.0,23.12,656,480
828,original,25.0,12.76,640,480
633,original,30.0,17.066666666666666,1280,720
948,original,30.0,14.466666666666667,1920,1080
974,original,25.0,12.72,600,480
960,original,30.0,11.5,1280,720
035,original,25.0,16.92,640,480
009,original,30.0,19.6,640,480
221,original,25.0,28.72,1280,720
779,original,25.0,12.24,1280,720
786,original,25.0,20.8,1920,1080
816,original,30.0,13.7,640,480
396,original,30.0,17.5,1280,720
817,original,30.0,13.966666666666667,1280,720
630,original,25.0,16.92,640,480
036,original,25.0,13.48,640,480
988,original,25.0,18.2,600,480
585,original,30.0,11.966666666666667,1280,720
556,original,25.0,14.88,640,480
542,original,25.0,12.8,1280,720
032,original,30.0,10.333333333333334,1280,720
392,original,30.0,49.86666666666667,1280,720
437,original,25.0,23.72,1280,720
609,original,25.0,19.56,600,480
153,original,25.0,29.28,640,480
635,original,25.0,30.56,854,480
147,original,30.0,22.233333333333334,600,480
966,original,25.0,14.56,640,480
027,original,30.0,10.5,640,480
999,original,30.0,11.166666666666666,640,480
033,original,25.0,32.36,854,480
596,original,25.0,22.28,600,480
794,original,25.0,35.16,1280,720
623,original,25.0,14.08,640,480
192,original,30.0,9.566666666666666,1280,720
435,original,25.0,19.04,656,480
420,original,25.0,45.04,600,480
434,original,30.0,11.233333333333333,854,480
811,original,25.0,21.68,1280,720
178,original,25.0,20.84,640,480
150,original,25.0,18.24,854,480
965,original,30.0,11.6,1920,1080
568,original,25.0,22.8,640,480
554,original,30.0,27.6,1280,720
241,original,30.0,9.733333333333333,854,480
719,original,25.0,16.08,640,480
679,original,25.0,16.64,656,480
651,original,25.0,15.2,1280,720
645,original,30.0,18.466666666666665,1920,1080
876,original,30.0,10.433333333333334,1280,720
321,original,25.0,22.68,640,480
452,original,30.0,20.2,640,480
687,original,25.0,18.76,1280,720
863,original,30.0,17.1,1280,720
644,original,25.0,16.52,854,480
917,original,25.0,17.92,656,480
254,original,25.0,17.08,1280,720
054,original,30.0,12.266666666666667,640,480
097,original,25.0,19.12,640,480
134,original,30.0,11.533333333333333,1280,720
849,original,25.0,12.88,640,480
337,original,25.0,13.24,640,480
479,original,30.0,16.266666666666666,1920,1080
109,original,25.0,11.92,640,480
096,original,30.0,16.8,1920,1080
055,original,30.0,13.133333333333333,640,480
294,original,30.0,20.133333333333333,1280,720
257,original,25.0,30.52,656,480
253,original,30.0,16.7,1280,720
284,original,30.0,16.1,1920,1080
