Filename,FPS
000_003,25
001_870,25
002_006,30
003_000,25
004_982,25
005_010,25
006_002,30
007_132,25
008_990,25
009_027,30
010_005,25
011_805,24
012_026,25
013_883,25
014_790,30
015_919,30
016_209,30
017_803,25
018_019,30
019_018,30
020_344,25
021_312,30
022_489,30
023_923,25
024_073,25
025_067,30
026_012,25
027_009,30
028_068,30
029_048,25
030_193,30
031_163,30
032_944,30
033_097,25
034_590,30
035_036,25
036_035,25
037_072,25
038_125,30
039_058,30
040_997,25
041_063,25
042_084,24
043_110,30
044_945,30
045_889,25
046_904,30
047_862,30
048_029,25
049_946,30
050_059,25
051_332,25
052_108,30
053_095,25
054_071,30
055_147,30
056_996,25
057_070,25
058_039,30
059_050,25
060_088,25
061_080,25
062_066,30
063_041,25
064_991,25
065_089,25
066_062,30
067_025,30
068_028,30
069_961,30
070_057,25
071_054,30
072_037,25
073_024,25
074_825,25
075_977,30
076_079,30
077_100,25
078_955,25
079_076,30
080_061,25
081_087,25
082_103,25
083_213,30
084_042,15
085_124,25
086_090,30
087_081,25
088_060,25
089_065,25
090_086,30
091_116,30
092_098,25
093_121,24
094_111,25
095_053,25
096_101,30
097_033,25
098_092,25
099_295,25
100_077,25
101_096,30
102_114,25
103_082,25
104_126,30
105_180,30
106_198,30
107_109,25
108_052,30
109_107,25
110_043,30
111_094,25
112_892,30
113_983,25
114_102,25
115_939,30
116_091,30
117_217,25
118_120,25
119_123,29
120_118,25
121_093,24
122_144,29
123_119,30
124_085,25
125_038,30
126_104,30
127_129,30
128_896,25
129_127,30
130_139,25
131_518,18
132_007,25
133_148,30
134_192,30
135_880,24
136_285,30
137_165,25
138_142,25
139_130,25
140_143,25
141_161,30
142_138,25
143_140,25
144_122,30
145_299,15
146_256,24
147_055,30
148_133,30
149_152,25
150_153,25
151_225,30
152_149,25
153_150,25
154_386,30
155_576,25
156_243,25
157_245,25
158_379,30
159_175,25
160_928,30
161_141,30
162_330,30
163_031,30
164_216,25
165_137,25
166_167,25
167_166,25
168_222,30
169_227,30
170_186,30
171_173,30
172_582,30
173_171,30
174_964,30
175_159,25
176_190,30
177_211,25
178_598,25
179_212,30
180_105,30
181_199,30
182_242,30
183_253,30
184_205,25
185_276,25
186_170,30
187_234,30
188_191,30
189_200,25
190_176,30
191_188,30
192_134,30
193_030,30
194_235,25
195_442,25
196_310,25
197_224,25
198_106,30
199_181,30
200_189,25
201_203,25
202_348,25
203_201,25
204_230,30
205_184,25
206_221,25
207_908,24
208_215,25
209_016,30
210_241,30
211_177,25
212_179,30
213_083,30
214_255,30
215_208,25
216_164,25
217_117,25
218_239,25
219_220,25
220_219,25
221_206,25
222_168,30
223_586,60
224_197,25
225_151,30
226_491,30
227_169,30
228_289,25
229_247,25
230_204,30
231_663,25
232_248,30
233_995,30
234_187,30
235_194,25
236_237,25
237_236,25
238_282,25
239_218,25
240_290,30
241_210,30
242_182,30
243_156,25
244_822,25
245_157,25
246_258,30
247_229,25
248_232,30
249_280,30
250_461,25
251_375,25
252_266,25
253_183,30
254_261,25
255_214,30
256_146,24
257_420,25
258_246,30
259_345,25
260_331,25
261_254,25
262_301,25
263_284,30
264_271,30
265_475,25
266_252,25
267_286,30
268_269,30
269_268,30
270_297,25
271_264,30
272_396,30
273_807,30
274_412,30
275_887,25
276_185,25
277_335,30
278_306,25
279_298,30
280_249,30
281_474,30
282_238,25
283_313,30
284_263,30
285_136,30
286_267,30
287_426,30
288_321,25
289_228,25
290_240,30
291_874,30
292_294,30
293_296,25
294_292,30
295_099,25
296_293,25
297_270,25
298_279,30
299_145,15
300_304,25
301_262,25
302_323,25
303_309,25
304_300,25
305_513,25
306_278,25
307_365,25
308_388,30
309_303,25
310_196,25
311_387,30
312_021,30
313_283,30
314_347,30
315_322,30
316_369,30
317_359,30
318_334,25
319_352,25
320_328,30
321_288,25
322_315,30
323_302,25
324_356,25
325_492,30
326_501,25
327_329,30
328_320,30
329_327,30
330_162,30
331_260,25
332_051,25
333_377,30
334_318,25
335_277,30
336_338,25
337_522,25
338_336,25
339_392,30
340_341,30
341_340,30
342_416,25
343_363,25
344_020,25
345_259,25
346_351,30
347_314,30
348_202,25
349_350,25
350_349,25
351_346,30
352_319,25
353_383,30
354_362,30
355_748,30
356_324,25
357_432,30
358_380,30
359_317,30
360_437,25
361_448,30
362_354,30
363_343,25
364_440,25
365_307,25
366_473,25
367_371,25
368_378,30
369_316,30
370_483,30
371_367,25
372_413,25
373_394,25
374_407,25
375_251,25
376_381,25
377_333,30
378_368,30
379_158,30
380_358,30
381_376,25
382_409,25
383_353,30
384_932,25
385_414,30
386_154,30
387_311,30
388_308,30
389_480,25
390_709,24
391_406,25
392_339,30
393_405,25
394_373,25
395_401,30
396_272,30
397_602,30
398_457,25
399_488,30
400_476,25
401_395,30
402_453,30
403_497,30
404_429,25
405_393,25
406_391,25
407_374,25
408_424,25
409_382,25
410_411,30
411_410,30
412_274,30
413_372,25
414_385,30
415_484,30
416_342,25
417_496,30
418_507,24
419_824,60
420_257,25
421_423,25
422_695,30
423_421,25
424_408,25
425_485,30
426_287,30
427_637,60
428_466,30
429_404,25
430_459,30
431_447,30
432_357,30
433_498,25
434_438,30
435_456,25
436_526,30
437_360,25
438_434,30
439_441,30
440_364,25
441_439,30
442_195,25
443_514,25
444_655,30
445_494,25
446_667,25
447_431,30
448_361,30
449_451,30
450_533,30
451_449,30
452_550,30
453_402,30
454_527,30
455_471,25
456_435,25
457_398,25
458_722,24
459_430,30
460_678,30
461_250,25
462_467,30
463_464,25
464_463,25
465_482,30
466_428,30
467_462,30
468_470,25
469_481,30
470_468,25
471_455,25
472_511,25
473_366,25
474_281,30
475_265,25
476_400,25
477_487,30
478_506,30
479_706,30
480_389,25
481_469,30
482_465,30
483_370,30
484_415,30
485_425,30
486_680,25
487_477,30
488_399,30
489_022,30
490_534,25
491_226,30
492_325,30
493_538,25
494_445,25
495_512,25
496_417,30
497_403,30
498_433,25
499_539,30
500_592,30
501_326,25
502_504,30
503_756,30
504_502,30
505_600,30
506_478,30
507_418,24
508_831,30
509_525,30
510_528,25
511_472,25
512_495,25
513_305,25
514_443,25
515_519,25
516_555,30
517_521,30
518_131,15
519_515,25
520_542,25
521_517,30
522_337,25
523_541,25
524_580,30
525_509,30
526_436,30
527_454,30
528_510,25
529_633,30
530_594,25
531_549,25
532_544,30
533_450,30
534_490,25
535_587,30
536_540,25
537_563,30
538_493,25
539_499,30
540_536,25
541_523,25
542_520,25
543_559,25
544_532,30
545_553,30
546_621,30
547_574,25
548_632,25
549_531,25
550_452,30
551_631,25
552_851,24
553_545,30
554_572,30
555_516,30
556_588,25
557_560,30
558_583,30
559_543,25
560_557,30
561_998,30
562_626,30
563_537,30
564_971,30
565_589,25
566_617,25
567_606,25
568_628,25
569_921,30
570_624,25
571_746,30
572_554,30
573_757,30
574_547,25
575_603,25
576_155,25
577_593,30
578_636,30
579_701,30
580_524,30
581_697,30
582_172,30
583_558,30
584_823,24
585_599,30
586_223,60
587_535,30
588_556,25
589_565,25
590_034,30
591_605,25
592_500,30
593_577,30
594_530,25
595_597,30
596_609,25
597_595,30
598_178,25
599_585,30
600_505,30
601_653,30
602_397,30
603_575,25
604_703,30
605_591,25
606_567,25
607_683,30
608_675,25
609_596,25
610_692,25
611_760,30
612_702,30
613_685,25
614_616,25
615_687,25
616_614,25
617_566,25
618_629,25
619_620,25
620_619,25
621_546,30
622_647,30
623_630,25
624_570,25
625_650,25
626_562,30
627_658,25
628_568,25
629_618,25
630_623,25
631_551,25
632_548,25
633_529,30
634_660,25
635_642,25
636_578,30
637_427,50
638_640,30
639_841,30
640_638,30
641_662,30
642_635,25
643_646,30
644_657,25
645_688,30
646_643,30
647_622,30
648_654,25
649_816,30
650_625,25
651_835,25
652_773,30
653_601,30
654_648,25
655_444,30
656_666,25
657_644,25
658_627,25
659_749,30
660_634,25
661_670,25
662_641,30
663_231,25
664_668,30
665_679,25
666_656,25
667_446,25
668_664,30
669_682,25
670_661,25
671_677,30
672_720,30
673_728,30
674_744,30
675_608,25
676_776,30
677_671,30
678_460,30
679_665,25
680_486,25
681_711,25
682_669,25
683_607,30
684_717,30
685_613,25
686_696,25
687_615,25
688_645,30
689_690,30
690_689,30
691_732,25
692_610,25
693_698,25
694_767,25
695_422,30
696_686,25
697_581,30
698_693,25
699_734,25
700_813,24
701_579,30
702_612,30
703_604,30
704_723,25
705_707,30
706_479,30
707_705,30
708_772,25
709_390,24
710_788,25
711_681,25
712_716,25
713_726,30
714_842,25
715_721,30
716_712,25
717_684,30
718_972,25
719_737,25
720_672,30
721_715,30
722_458,24
723_704,25
724_725,30
725_724,30
726_713,30
727_729,25
728_673,30
729_727,25
730_815,25
731_741,25
732_691,25
733_935,25
734_699,25
735_774,30
736_785,25
737_719,25
738_804,30
739_865,50
740_796,24
741_731,25
742_775,30
743_750,30
744_674,30
745_777,30
746_571,30
747_854,25
748_355,30
749_659,30
750_743,30
751_752,30
752_751,30
753_789,30
754_758,30
755_759,30
756_503,30
757_573,30
758_754,30
759_755,30
760_611,30
761_766,25
762_832,25
763_930,30
764_850,30
765_867,30
766_761,25
767_694,25
768_793,25
769_784,30
770_791,30
771_849,25
772_708,25
773_652,30
774_735,30
775_742,30
776_676,30
777_745,30
778_798,30
779_794,25
780_869,25
781_806,25
782_787,25
783_916,30
784_769,30
785_736,25
786_819,25
787_782,25
788_710,25
789_753,30
790_014,30
791_770,30
792_903,25
793_768,25
794_779,25
795_907,30
796_740,24
797_844,30
798_778,30
799_809,25
800_840,30
