Filename,Type,FPS,Duration,Width,Height
654_648,manipulated,25.0,16.4,640,480
917_924,manipulated,25.0,17.92,640,480
107_109,manipulated,25.0,11.92,640,480
441_439,manipulated,30.0,10.166666666666666,640,480
924_917,manipulated,25.0,17.92,576,480
360_437,manipulated,25.0,15.4,1280,720
241_210,manipulated,30.0,9.733333333333333,832,480
272_396,manipulated,30.0,10.766666666666667,1280,720
828_830,manipulated,25.0,12.76,640,480
435_456,manipulated,25.0,19.04,640,480
252_266,manipulated,25.0,18.6,800,480
866_878,manipulated,30.0,16.966666666666665,1920,1080
337_522,manipulated,25.0,13.24,640,480
565_589,manipulated,25.0,17.2,640,480
589_565,manipulated,25.0,17.2,640,480
261_254,manipulated,25.0,17.08,576,480
712_716,manipulated,25.0,22.0,1280,720
648_654,manipulated,25.0,16.4,1280,720
469_481,manipulated,30.0,13.8,832,480
992_980,manipulated,25.0,15.32,576,480
392_339,manipulated,30.0,15.233333333333333,1280,720
062_066,manipulated,30.0,14.1,640,480
150_153,manipulated,25.0,18.24,832,480
033_097,manipulated,25.0,19.12,832,480
878_866,manipulated,30.0,16.966666666666665,1280,720
210_241,manipulated,30.0,9.733333333333333,640,480
607_683,manipulated,30.0,10.066666666666666,1920,1080
263_284,manipulated,30.0,10.0,1280,720
572_554,manipulated,30.0,11.566666666666666,1280,720
321_288,manipulated,25.0,21.72,640,480
671_677,manipulated,30.0,10.466666666666667,1280,720
192_134,manipulated,30.0,9.566666666666666,1280,720
183_253,manipulated,30.0,13.0,1280,720
942_943,manipulated,25.0,18.8,1280,720
456_435,manipulated,25.0,19.04,1280,720
943_942,manipulated,25.0,18.8,1280,720
044_945,manipulated,30.0,11.166666666666666,1280,720
109_107,manipulated,25.0,11.92,640,480
980_992,manipulated,25.0,15.32,640,480
221_206,manipulated,25.0,28.56,1280,720
835_651,manipulated,25.0,15.2,1920,1080
153_150,manipulated,25.0,18.24,640,480
257_420,manipulated,25.0,30.52,640,480
945_044,manipulated,30.0,11.166666666666666,1280,720
974_953,manipulated,25.0,12.72,576,480
253_183,manipulated,30.0,13.0,1280,720
904_046,manipulated,30.0,11.966666666666667,1920,1080
134_192,manipulated,30.0,9.566666666666666,1280,720
438_434,manipulated,30.0,11.233333333333333,640,480
168_222,manipulated,30.0,13.566666666666666,640,480
897_969,manipulated,25.0,13.32,640,480
055_147,manipulated,30.0,13.133333333333333,640,480
651_835,manipulated,25.0,15.2,1280,720
254_261,manipulated,25.0,17.08,1280,720
046_904,manipulated,30.0,11.966666666666667,1280,720
683_607,manipulated,30.0,10.066666666666666,1920,1080
434_438,manipulated,30.0,11.233333333333333,832,480
794_779,manipulated,25.0,12.24,1280,720
036_035,manipulated,25.0,13.48,640,480
097_033,manipulated,25.0,19.12,640,480
266_252,manipulated,25.0,18.6,704,480
779_794,manipulated,25.0,12.24,1280,720
994_986,manipulated,25.0,12.64,640,480
657_644,manipulated,25.0,16.52,640,480
554_572,manipulated,30.0,11.566666666666666,1280,720
175_159,manipulated,25.0,13.0,640,480
920_811,manipulated,25.0,14.84,1920,1080
953_974,manipulated,25.0,12.72,1280,720
206_221,manipulated,25.0,28.56,640,480
128_896,manipulated,25.0,21.24,640,480
529_633,manipulated,30.0,11.166666666666666,1920,1080
599_585,manipulated,30.0,11.966666666666667,1280,720
830_828,manipulated,25.0,12.76,576,480
420_257,manipulated,25.0,30.52,576,480
066_062,manipulated,30.0,14.1,704,480
288_321,manipulated,25.0,21.72,640,480
339_392,manipulated,30.0,15.233333333333333,640,480
720_672,manipulated,30.0,18.033333333333335,640,480
588_556,manipulated,25.0,14.88,832,480
159_175,manipulated,25.0,13.0,576,480
437_360,manipulated,25.0,15.4,1280,720
222_168,manipulated,30.0,13.566666666666666,640,480
716_712,manipulated,25.0,22.0,576,480
677_671,manipulated,30.0,10.466666666666667,1280,720
672_720,manipulated,30.0,18.033333333333335,1280,720
969_897,manipulated,25.0,13.32,640,480
481_469,manipulated,30.0,13.8,1280,720
035_036,manipulated,25.0,13.48,640,480
644_657,manipulated,25.0,16.52,832,480
147_055,manipulated,30.0,13.133333333333333,576,480
811_920,manipulated,25.0,14.84,1280,720
986_994,manipulated,25.0,12.64,1280,720
585_599,manipulated,30.0,11.966666666666667,1280,720
522_337,manipulated,25.0,13.24,576,480
439_441,manipulated,30.0,10.166666666666666,640,480
633_529,manipulated,30.0,11.166666666666666,1280,720
396_272,manipulated,30.0,10.766666666666667,1280,720
896_128,manipulated,25.0,21.24,640,480
556_588,manipulated,25.0,14.88,640,480
284_263,manipulated,30.0,10.0,1920,1080
