Filename,Type,FPS,Duration,Width,Height
222,original,30.0,13.566666666666666,640,480
168,original,30.0,40.93333333333333,640,480
183,original,30.0,13.0,1280,720
828,original,25.0,12.76,640,480
633,original,30.0,17.066666666666666,1280,720
974,original,25.0,12.72,600,480
035,original,25.0,16.92,640,480
221,original,25.0,28.72,1280,720
779,original,25.0,12.24,1280,720
396,original,30.0,17.5,1280,720
036,original,25.0,13.48,640,480
585,original,30.0,11.966666666666667,1280,720
556,original,25.0,14.88,640,480
392,original,30.0,49.86666666666667,1280,720
437,original,25.0,23.72,1280,720
153,original,25.0,29.28,640,480
147,original,30.0,22.233333333333334,600,480
033,original,25.0,32.36,854,480
794,original,25.0,35.16,1280,720
192,original,30.0,9.566666666666666,1280,720
435,original,25.0,19.04,656,480
420,original,25.0,45.04,600,480
434,original,30.0,11.233333333333333,854,480
811,original,25.0,21.68,1280,720
150,original,25.0,18.24,854,480
554,original,30.0,27.6,1280,720
241,original,30.0,9.733333333333333,854,480
651,original,25.0,15.2,1280,720
321,original,25.0,22.68,640,480
644,original,25.0,16.52,854,480
917,original,25.0,17.92,656,480
254,original,25.0,17.08,1280,720
097,original,25.0,19.12,640,480
134,original,30.0,11.533333333333333,1280,720
337,original,25.0,13.24,640,480
109,original,25.0,11.92,640,480
055,original,30.0,13.133333333333333,640,480
257,original,25.0,30.52,656,480
253,original,30.0,16.7,1280,720
284,original,30.0,16.1,1920,1080
904,original,30.0,11.966666666666667,1920,1080
657,original,25.0,21.84,656,480
441,original,30.0,10.166666666666666,640,480
469,original,30.0,13.8,854,480
044,original,30.0,11.166666666666666,1280,720
252,original,25.0,22.88,800,480
522,original,25.0,28.52,602,480
046,original,30.0,16.8,1280,720
720,original,30.0,18.8,656,480
654,original,25.0,16.4,640,480
683,original,30.0,10.066666666666666,1920,1080
456,original,25.0,24.32,1280,720
481,original,30.0,13.8,1280,720
866,original,30.0,16.966666666666665,1920,1080
062,original,30.0,14.1,640,480
671,original,30.0,11.433333333333334,1280,720
261,original,25.0,27.08,600,480
263,original,30.0,10.0,1280,720
288,original,25.0,21.72,640,480
920,original,25.0,14.84,1920,1080
897,original,25.0,13.32,656,480
672,original,30.0,18.033333333333335,1280,720
128,original,25.0,29.4,640,480
896,original,25.0,21.24,640,480
712,original,25.0,22.0,1280,720
272,original,30.0,10.766666666666667,1280,720
266,original,25.0,18.6,720,480
716,original,25.0,25.12,600,480
878,original,30.0,24.533333333333335,1280,720
677,original,30.0,10.466666666666667,1280,720
924,original,25.0,49.92,600,480
529,original,30.0,11.166666666666666,1920,1080
107,original,25.0,22.24,640,480
339,original,30.0,15.233333333333333,640,480
648,original,25.0,18.84,1280,720
066,original,30.0,14.5,720,480
565,original,25.0,17.2,656,480
175,original,25.0,20.16,640,480
607,original,30.0,15.133333333333333,1920,1080
439,original,30.0,15.4,640,480
438,original,30.0,18.066666666666666,640,480
835,original,25.0,17.04,1920,1080
969,original,25.0,14.24,656,480
572,original,30.0,11.566666666666666,1280,720
599,original,30.0,13.266666666666667,1280,720
994,original,25.0,12.64,640,480
980,original,25.0,15.32,656,480
943,original,25.0,18.8,1280,720
360,original,25.0,15.4,1280,720
942,original,25.0,19.8,1280,720
588,original,25.0,21.76,854,480
953,original,25.0,14.04,1280,720
589,original,25.0,27.44,640,480
210,original,30.0,27.966666666666665,654,480
206,original,25.0,28.56,656,480
986,original,25.0,33.12,1280,720
992,original,25.0,28.72,600,480
945,original,30.0,25.366666666666667,1280,720
830,original,25.0,20.44,600,480
159,original,25.0,13.0,600,480
