Filename,Type,FPS,Duration,Width,Height
654_648,manipulated,25.0,16.4,640,480
917_924,manipulated,25.0,17.92,640,480
924_917,manipulated,25.0,17.92,576,480
241_210,manipulated,30.0,9.733333333333333,832,480
828_830,manipulated,25.0,12.76,640,480
252_266,manipulated,25.0,18.6,800,480
866_878,manipulated,30.0,16.966666666666665,1920,1080
712_716,manipulated,25.0,22.0,1280,720
648_654,manipulated,25.0,16.4,1280,720
469_481,manipulated,30.0,13.8,832,480
392_339,manipulated,30.0,15.233333333333333,1280,720
033_097,manipulated,25.0,19.12,832,480
878_866,manipulated,30.0,16.966666666666665,1280,720
210_241,manipulated,30.0,9.733333333333333,640,480
263_284,manipulated,30.0,10.0,1280,720
192_134,manipulated,30.0,9.566666666666666,1280,720
183_253,manipulated,30.0,13.0,1280,720
942_943,manipulated,25.0,18.8,1280,720
943_942,manipulated,25.0,18.8,1280,720
044_945,manipulated,30.0,11.166666666666666,1280,720
945_044,manipulated,30.0,11.166666666666666,1280,720
253_183,manipulated,30.0,13.0,1280,720
134_192,manipulated,30.0,9.566666666666666,1280,720
036_035,manipulated,25.0,13.48,640,480
097_033,manipulated,25.0,19.12,640,480
266_252,manipulated,25.0,18.6,704,480
994_986,manipulated,25.0,12.64,640,480
657_644,manipulated,25.0,16.52,640,480
599_585,manipulated,30.0,11.966666666666667,1280,720
830_828,manipulated,25.0,12.76,576,480
339_392,manipulated,30.0,15.233333333333333,640,480
720_672,manipulated,30.0,18.033333333333335,640,480
716_712,manipulated,25.0,22.0,576,480
672_720,manipulated,30.0,18.033333333333335,1280,720
481_469,manipulated,30.0,13.8,1280,720
035_036,manipulated,25.0,13.48,640,480
644_657,manipulated,25.0,16.52,832,480
986_994,manipulated,25.0,12.64,1280,720
585_599,manipulated,30.0,11.966666666666667,1280,720
284_263,manipulated,30.0,10.0,1920,1080
